query_id,supplier_id,industry,archetype,price,lead_time,quality_acceptance_rate,defect_rate,on_time_delivery_rate,past_performance_score,responsiveness_score,financial_stability_score,fulfillment_rate,capacity_reliability_score,has_iso_9001,geo_risk_score,relevance
1,1_1,materials,balanced,59.55,19,0.959,0.019,0.913,82.4,4.13,3.69,0.719,3.95,0,1.49,2
1,1_2,materials,premium,124.27,13,1,0.001,0.965,83.5,4.62,5,0.849,1.94,0,2.27,3
1,1_3,materials,specialist,131.34,19,1,0.001,0.901,77.1,4.73,3.98,0.783,2.12,1,2.82,1
1,1_4,materials,premium,106.73,14,1,0.001,0.942,89.9,4.66,4.31,0.795,1.8,1,3.33,3
1,1_5,materials,balanced,85.99,21,1,0.008,0.873,90.2,4.57,4.16,0.823,1.5,1,1.69,4
2,2_1,automotive,specialist,207.8,14,0.989,0.001,0.915,77.7,4.59,4.38,0.85,2.77,1,2.1,2
2,2_2,automotive,specialist,193.97,7,0.994,0.001,0.925,85,4.64,4.12,0.821,2.58,1,3.64,2
2,2_3,automotive,premium,235.09,8,1,0.001,0.9,85.3,4.48,4.64,0.804,4.55,1,2.11,1
2,2_4,automotive,specialist,182.81,15,1,0.016,0.918,91,4.89,3.82,0.881,4.22,0,2.79,0
2,2_5,automotive,budget,127.07,20,0.9,0.072,0.909,94.5,3.93,3.62,0.806,2.18,1,3.38,3
2,2_6,automotive,balanced,201.61,14,0.937,0.039,0.926,88.7,4.16,4.54,0.902,2.66,1,2.71,4
2,2_7,automotive,premium,200.92,12,1,0.001,0.938,80.3,4.95,4.66,0.876,5,1,3.83,3
2,2_8,automotive,specialist,172.18,7,1,0.001,0.903,83.3,4.97,4.31,0.877,1.73,0,2.55,3
2,2_9,automotive,budget,90.76,20,0.9,0.078,0.861,83.3,3.86,3.67,0.938,3.4,1,2.88,3
3,3_1,materials,specialist,83.71,14,0.975,0.015,0.885,78.5,4.96,4.91,0.844,2.53,1,3.66,3
3,3_2,materials,specialist,94.4,13,1,0.001,0.933,87.9,4.58,3.94,0.84,2.51,1,1.88,3
3,3_3,materials,budget,70.54,27,0.928,0.033,0.855,90.8,4.47,3.78,0.83,3.26,1,3.81,2
3,3_4,materials,balanced,90.25,21,0.947,0.042,0.935,88.1,4.3,3.7,0.854,2.32,1,2.19,1
3,3_5,materials,premium,109.98,17,0.993,0.001,0.957,82.6,4.6,5,0.748,4.57,1,2.48,0
3,3_6,materials,budget,65.51,22,0.926,0.07,0.903,85.1,4.03,3.61,0.851,3.5,1,2.07,3
3,3_7,materials,balanced,80.09,22,0.954,0.006,0.891,86.8,4.47,4.64,0.887,4.48,1,3.68,4
3,3_8,materials,specialist,63.83,21,1,0.001,0.946,85.2,4.36,4.56,0.797,2.86,1,1.13,3
3,3_9,materials,specialist,85.74,17,1,0.001,0.926,83.7,4.95,4.69,0.828,2.66,0,3.56,2
4,4_1,electronics,budget,146.04,16,0.964,0.023,0.862,84.7,4.12,3.98,0.747,2.91,1,2.38,1
4,4_2,electronics,budget,109.11,14,0.976,0.068,0.85,82.2,3.57,3.9,0.853,1,1,1.8,4
4,4_3,electronics,balanced,214.95,12,0.964,0.013,0.944,83.8,4.47,4.31,1,4.12,0,4.02,2
4,4_4,electronics,balanced,189.02,11,0.945,0.001,0.906,85,5,4.66,0.828,4.58,0,1.62,3
4,4_5,electronics,specialist,218.99,10,0.976,0.001,0.948,80.8,4.58,4.22,0.838,2.09,1,2.74,2
4,4_6,electronics,balanced,192.7,11,0.981,0.017,0.906,83.5,3.84,4.55,0.793,3.27,1,1.85,2
4,4_7,electronics,premium,261.77,6,1,0.001,0.984,82,4.83,4.32,0.908,3.25,0,1.91,2
5,5_1,materials,budget,59.88,27,0.911,0.049,0.894,80.8,3.53,4.01,0.838,3.82,1,2.74,1
5,5_2,materials,balanced,65.98,20,0.99,0.026,0.926,80.7,4.32,3.91,0.874,3.33,1,3.79,1
5,5_3,materials,balanced,88.4,23,0.93,0.022,0.9,75,4.35,5,0.84,3.05,1,2.61,3
5,5_4,materials,specialist,93.22,18,1,0.001,0.925,90.5,3.99,5,0.842,2.57,1,3.35,4
5,5_5,materials,balanced,96.58,16,0.929,0.023,0.949,75.8,3.99,4.41,0.81,2.84,1,5,0
6,6_1,chemicals,specialist,148.98,14,0.987,0.001,0.881,90.5,4.87,3.21,0.833,2.63,1,2.35,2
6,6_2,chemicals,budget,88.31,20,0.934,0.069,0.853,84.3,4.15,3.47,0.832,2.77,0,3.21,3
6,6_3,chemicals,balanced,103.7,19,0.983,0.005,0.896,78,3.83,4.45,0.786,4.75,1,1,4
6,6_4,chemicals,premium,182.04,15,1,0.001,0.953,85.5,4.31,4.68,0.95,3.72,1,2.76,3
6,6_5,chemicals,premium,141.2,9,1,0.001,0.931,78.2,4.51,4.93,0.803,5,1,2.6,2
6,6_6,chemicals,balanced,115.08,10,0.934,0.017,0.961,84.8,3.83,3.95,0.875,3.53,1,3.12,2
7,7_1,chemicals,specialist,134.35,16,1,0.001,0.944,76.7,4.63,4.35,0.864,1.72,1,2.95,4
7,7_2,chemicals,specialist,167.24,17,0.967,0.001,0.925,85.7,4.62,3.29,0.817,4.04,1,2.77,2
7,7_3,chemicals,premium,147.23,19,1,0.001,0.97,92.3,5,4.14,0.829,2.72,1,1.49,2
7,7_4,chemicals,budget,45.7,18,0.908,0.028,0.904,93.1,3.53,4.04,0.824,2.4,0,1.86,0
7,7_5,chemicals,premium,200.64,13,0.998,0.001,0.947,83.1,4.89,4.57,0.883,5,0,1,2
7,7_6,chemicals,specialist,139.41,14,0.945,0.001,0.908,87.3,4.57,4.4,0.897,3.42,1,3.32,3
7,7_7,chemicals,specialist,171.53,15,1,0.001,0.945,91.4,4.56,4.27,0.782,3.75,1,4,1
7,7_8,chemicals,budget,106.18,21,0.935,0.081,0.85,89.8,3.86,4.06,0.868,2.47,0,4.07,3
8,8_1,chemicals,budget,67.05,14,0.921,0.083,0.877,84.5,4.55,3.46,0.774,2.31,1,3.4,2
8,8_2,chemicals,balanced,116.75,16,0.985,0.024,0.932,88,4.02,4.31,0.912,3.49,1,1.82,2
8,8_3,chemicals,balanced,118.6,14,0.966,0.011,0.883,88.8,4.54,4.36,0.802,2.95,0,4.9,3
8,8_4,chemicals,budget,79.32,21,0.9,0.066,0.88,82.8,4.08,3.6,0.941,3.36,1,3.4,2
8,8_5,chemicals,premium,188,13,1,0.001,0.932,87.1,4.96,4.11,0.849,5,1,1.57,4
8,8_6,chemicals,budget,91.49,24,0.923,0.043,0.85,95,3.97,4.89,0.768,2.43,1,3.98,3
9,9_1,electronics,balanced,196.96,11,0.957,0.034,0.938,76.3,4.19,3.59,0.785,4.16,1,1,1
9,9_2,electronics,premium,214.39,10,1,0.001,0.949,91.1,5,4.36,0.868,4.3,1,2.24,2
