planned_order_id,item_id,item_name,item_type,quantity,suggested_due_date,planning_date,plant_id,supplier_id,reschedule_out_days
PO-CAR-000001,CAR002,Model Us Sedan,Make,34,29-08-2025,15-08-2025,PLANT01,,0
PO-COMP-000002,COMP0018,Battery Pack Positive,Buy,102,16-07-2025,15-08-2025,PLANT01,SUP008,0
PO-COMP-000003,COMP0004,Seat Assembly Cell,Buy,7,02-08-2025,15-08-2025,PLANT01,SUP006,0
PO-COMP-000004,COMP0012,Door Panel Appear,Buy,51,03-08-2025,15-08-2025,PLANT01,SUP001,0
PO-CAR-000005,CAR005,Model Charge EV,Make,26,05-09-2025,15-08-2025,PLANT01,,0
PO-CAR-000006,CAR002,Model Us Sedan,Make,47,22-08-2025,15-08-2025,PLANT02,,0
PO-COMP-000007,COMP0030,Door Panel Focus,Buy,94,05-07-2025,15-08-2025,PLANT02,SUP005,0
PO-COMP-000008,COMP0020,Brake System Police,Buy,108,17-06-2025,15-08-2025,PLANT02,SUP003,0
PO-COMP-000009,COMP0018,Battery Pack Positive,Buy,113,17-07-2025,15-08-2025,PLANT02,SUP009,0
PO-COMP-000010,COMP0012,Door Panel Appear,Buy,84,30-07-2025,15-08-2025,PLANT02,SUP006,0
PO-CAR-000011,CAR001,Model Peace EV,Make,23,29-08-2025,15-08-2025,PLANT01,,0
PO-COMP-000012,COMP0018,Battery Pack Positive,Buy,23,27-07-2025,15-08-2025,PLANT01,SUP007,0
PO-COMP-000013,COMP0021,Infotainment System Concern,Buy,81,02-07-2025,15-08-2025,PLANT01,SUP005,0
PO-COMP-000014,COMP0012,Door Panel Appear,Buy,75,21-07-2025,15-08-2025,PLANT01,SUP004,0
PO-COMP-000015,COMP0027,Tire Energy,Buy,92,26-07-2025,15-08-2025,PLANT01,SUP009,0
PO-CAR-000016,CAR003,Model Its Hatchback,Make,17,29-08-2025,15-08-2025,PLANT02,,0
PO-COMP-000017,COMP0030,Door Panel Focus,Buy,51,01-07-2025,15-08-2025,PLANT02,SUP003,0
